#Key,Factor,BaseValue,ShiftSize
OptionletVolatility/EUR/0,OptionletVolatility/EUR/0/1Y/0.01,0.00000000,0.00000000
OptionletVolatility/EUR/1,OptionletVolatility/EUR/1/1Y/0.02,0.00000000,0.00000000
OptionletVolatility/EUR/2,OptionletVolatility/EUR/2/1Y/0.03,0.00000000,0.00000000
OptionletVolatility/EUR/3,OptionletVolatility/EUR/3/1Y/0.04,0.00000000,0.00000000
OptionletVolatility/EUR/4,OptionletVolatility/EUR/4/1Y/0.05,0.00000000,0.00000000
OptionletVolatility/EUR/5,OptionletVolatility/EUR/5/2Y/0.01,0.00000000,0.00000000
OptionletVolatility/EUR/6,OptionletVolatility/EUR/6/2Y/0.02,0.00000000,0.00000000
OptionletVolatility/EUR/7,OptionletVolatility/EUR/7/2Y/0.03,0.00000000,0.00000000
OptionletVolatility/EUR/8,OptionletVolatility/EUR/8/2Y/0.04,0.00000000,0.00000000
OptionletVolatility/EUR/9,OptionletVolatility/EUR/9/2Y/0.05,0.00000000,0.00000000
OptionletVolatility/EUR/10,OptionletVolatility/EUR/10/3Y/0.01,0.00000000,0.00000000
OptionletVolatility/EUR/11,OptionletVolatility/EUR/11/3Y/0.02,0.00000000,0.00000000
OptionletVolatility/EUR/12,OptionletVolatility/EUR/12/3Y/0.03,0.00000000,0.00000000
OptionletVolatility/EUR/13,OptionletVolatility/EUR/13/3Y/0.04,0.00000000,0.00000000
OptionletVolatility/EUR/14,OptionletVolatility/EUR/14/3Y/0.05,0.00000000,0.00000000
OptionletVolatility/EUR/15,OptionletVolatility/EUR/15/5Y/0.01,0.00000000,0.00000000
OptionletVolatility/EUR/16,OptionletVolatility/EUR/16/5Y/0.02,0.00000000,0.00000000
OptionletVolatility/EUR/17,OptionletVolatility/EUR/17/5Y/0.03,0.00000000,0.00000000
OptionletVolatility/EUR/18,OptionletVolatility/EUR/18/5Y/0.04,0.00000000,0.00000000
OptionletVolatility/EUR/19,OptionletVolatility/EUR/19/5Y/0.05,0.00000000,0.00000000
OptionletVolatility/EUR/20,OptionletVolatility/EUR/20/7Y/0.01,0.00000000,0.00000000
OptionletVolatility/EUR/21,OptionletVolatility/EUR/21/7Y/0.02,0.00000000,0.00000000
OptionletVolatility/EUR/22,OptionletVolatility/EUR/22/7Y/0.03,0.00000000,0.00000000
OptionletVolatility/EUR/23,OptionletVolatility/EUR/23/7Y/0.04,0.00000000,0.00000000
OptionletVolatility/EUR/24,OptionletVolatility/EUR/24/7Y/0.05,0.00000000,0.00000000
OptionletVolatility/EUR/25,OptionletVolatility/EUR/25/10Y/0.01,0.00000000,0.00000000
OptionletVolatility/EUR/26,OptionletVolatility/EUR/26/10Y/0.02,0.00000000,0.00000000
OptionletVolatility/EUR/27,OptionletVolatility/EUR/27/10Y/0.03,0.00000000,0.00000000
OptionletVolatility/EUR/28,OptionletVolatility/EUR/28/10Y/0.04,0.00000000,0.00000000
OptionletVolatility/EUR/29,OptionletVolatility/EUR/29/10Y/0.05,0.00000000,0.00000000
OptionletVolatility/USD/0,OptionletVolatility/USD/0/1Y/0.01,0.00000000,0.00000000
OptionletVolatility/USD/1,OptionletVolatility/USD/1/1Y/0.02,0.00000000,0.00000000
OptionletVolatility/USD/2,OptionletVolatility/USD/2/1Y/0.03,0.00000000,0.00000000
OptionletVolatility/USD/3,OptionletVolatility/USD/3/1Y/0.04,0.00000000,0.00000000
OptionletVolatility/USD/4,OptionletVolatility/USD/4/1Y/0.05,0.00000000,0.00000000
OptionletVolatility/USD/5,OptionletVolatility/USD/5/2Y/0.01,0.00000000,0.00000000
OptionletVolatility/USD/6,OptionletVolatility/USD/6/2Y/0.02,0.00000000,0.00000000
OptionletVolatility/USD/7,OptionletVolatility/USD/7/2Y/0.03,0.00000000,0.00000000
OptionletVolatility/USD/8,OptionletVolatility/USD/8/2Y/0.04,0.00000000,0.00000000
OptionletVolatility/USD/9,OptionletVolatility/USD/9/2Y/0.05,0.00000000,0.00000000
OptionletVolatility/USD/10,OptionletVolatility/USD/10/3Y/0.01,0.00000000,0.00000000
OptionletVolatility/USD/11,OptionletVolatility/USD/11/3Y/0.02,0.00000000,0.00000000
OptionletVolatility/USD/12,OptionletVolatility/USD/12/3Y/0.03,0.00000000,0.00000000
OptionletVolatility/USD/13,OptionletVolatility/USD/13/3Y/0.04,0.00000000,0.00000000
OptionletVolatility/USD/14,OptionletVolatility/USD/14/3Y/0.05,0.00000000,0.00000000
OptionletVolatility/USD/15,OptionletVolatility/USD/15/5Y/0.01,0.00000000,0.00000000
OptionletVolatility/USD/16,OptionletVolatility/USD/16/5Y/0.02,0.00000000,0.00000000
OptionletVolatility/USD/17,OptionletVolatility/USD/17/5Y/0.03,0.00000000,0.00000000
OptionletVolatility/USD/18,OptionletVolatility/USD/18/5Y/0.04,0.00000000,0.00000000
OptionletVolatility/USD/19,OptionletVolatility/USD/19/5Y/0.05,0.00000000,0.00000000
OptionletVolatility/USD/20,OptionletVolatility/USD/20/7Y/0.01,0.00000000,0.00000000
OptionletVolatility/USD/21,OptionletVolatility/USD/21/7Y/0.02,0.00000000,0.00000000
OptionletVolatility/USD/22,OptionletVolatility/USD/22/7Y/0.03,0.00000000,0.00000000
OptionletVolatility/USD/23,OptionletVolatility/USD/23/7Y/0.04,0.00000000,0.00000000
OptionletVolatility/USD/24,OptionletVolatility/USD/24/7Y/0.05,0.00000000,0.00000000
OptionletVolatility/USD/25,OptionletVolatility/USD/25/10Y/0.01,0.00000000,0.00000000
OptionletVolatility/USD/26,OptionletVolatility/USD/26/10Y/0.02,0.00000000,0.00000000
OptionletVolatility/USD/27,OptionletVolatility/USD/27/10Y/0.03,0.00000000,0.00000000
OptionletVolatility/USD/28,OptionletVolatility/USD/28/10Y/0.04,0.00000000,0.00000000
OptionletVolatility/USD/29,OptionletVolatility/USD/29/10Y/0.05,0.00000000,0.00000000
FXSpot/CHFEUR/0,FXSpot/CHFEUR/0/spot,0.88885254,0.00888853
FXSpot/GBPEUR/0,FXSpot/GBPEUR/0/spot,1.23162113,0.01231621
FXSpot/JPYEUR/0,FXSpot/JPYEUR/0/spot,0.00780333,0.00007803
FXSpot/USDEUR/0,FXSpot/USDEUR/0/spot,0.88312932,0.00883129
FXVolatility/GBPEUR/0,FXVolatility/GBPEUR/0/1Y/ATM,0.00000000,0.00000000
FXVolatility/GBPEUR/1,FXVolatility/GBPEUR/1/2Y/ATM,0.00000000,0.00000000
FXVolatility/GBPEUR/2,FXVolatility/GBPEUR/2/3Y/ATM,0.00000000,0.00000000
FXVolatility/GBPEUR/3,FXVolatility/GBPEUR/3/5Y/ATM,0.00000000,0.00000000
FXVolatility/JPYEUR/0,FXVolatility/JPYEUR/0/1Y/ATM,0.00000000,0.00000000
FXVolatility/JPYEUR/1,FXVolatility/JPYEUR/1/2Y/ATM,0.00000000,0.00000000
FXVolatility/JPYEUR/2,FXVolatility/JPYEUR/2/3Y/ATM,0.00000000,0.00000000
FXVolatility/JPYEUR/3,FXVolatility/JPYEUR/3/5Y/ATM,0.00000000,0.00000000
FXVolatility/USDEUR/0,FXVolatility/USDEUR/0/1Y/ATM,0.00000000,0.00000000
FXVolatility/USDEUR/1,FXVolatility/USDEUR/1/2Y/ATM,0.00000000,0.00000000
FXVolatility/USDEUR/2,FXVolatility/USDEUR/2/3Y/ATM,0.00000000,0.00000000
FXVolatility/USDEUR/3,FXVolatility/USDEUR/3/5Y/ATM,0.00000000,0.00000000
EquitySpot/Lufthansa/0,EquitySpot/Lufthansa/0/spot,12.75000000,0.12750000
EquitySpot/SP5/0,EquitySpot/SP5/0/spot,2147.56000000,21.47560000
EquityVolatility/Lufthansa/0,EquityVolatility/Lufthansa/0/6M/ATM,0.00000000,0.00000000
EquityVolatility/Lufthansa/1,EquityVolatility/Lufthansa/1/1Y/ATM,0.00000000,0.00000000
EquityVolatility/Lufthansa/2,EquityVolatility/Lufthansa/2/2Y/ATM,0.00000000,0.00000000
EquityVolatility/Lufthansa/3,EquityVolatility/Lufthansa/3/3Y/ATM,0.00000000,0.00000000
EquityVolatility/Lufthansa/4,EquityVolatility/Lufthansa/4/5Y/ATM,0.00000000,0.00000000
EquityVolatility/SP5/0,EquityVolatility/SP5/0/6M/ATM,0.00000000,0.00000000
EquityVolatility/SP5/1,EquityVolatility/SP5/1/1Y/ATM,0.00000000,0.00000000
EquityVolatility/SP5/2,EquityVolatility/SP5/2/2Y/ATM,0.00000000,0.00000000
EquityVolatility/SP5/3,EquityVolatility/SP5/3/3Y/ATM,0.00000000,0.00000000
EquityVolatility/SP5/4,EquityVolatility/SP5/4/5Y/ATM,0.00000000,0.00000000
SurvivalProbability/BANK/0,SurvivalProbability/BANK/0/6M,0.01693110,0.00010000
SurvivalProbability/BANK/1,SurvivalProbability/BANK/1/1Y,0.01692402,0.00010000
SurvivalProbability/BANK/2,SurvivalProbability/BANK/2/2Y,0.01689970,0.00010000
SurvivalProbability/BANK/3,SurvivalProbability/BANK/3/5Y,0.01687905,0.00010000
SurvivalProbability/BANK/4,SurvivalProbability/BANK/4/10Y,0.01686479,0.00010000
SurvivalProbability/CPTY_C/0,SurvivalProbability/CPTY_C/0/6M,0.00000000,0.00010000
SurvivalProbability/CPTY_C/1,SurvivalProbability/CPTY_C/1/1Y,0.00000000,0.00010000
SurvivalProbability/CPTY_C/2,SurvivalProbability/CPTY_C/2/2Y,0.00000000,0.00010000
SurvivalProbability/CPTY_C/3,SurvivalProbability/CPTY_C/3/5Y,0.00000000,0.00010000
SurvivalProbability/CPTY_C/4,SurvivalProbability/CPTY_C/4/10Y,0.00000000,0.00010000
ZeroInflationCurve/EUHICP/0,ZeroInflationCurve/EUHICP/0/6M,0.00992313,0.00010000
ZeroInflationCurve/EUHICP/1,ZeroInflationCurve/EUHICP/1/1Y,0.00984548,0.00010000
ZeroInflationCurve/EUHICP/2,ZeroInflationCurve/EUHICP/2/2Y,0.00817500,0.00010000
ZeroInflationCurve/EUHICP/3,ZeroInflationCurve/EUHICP/3/3Y,0.00817500,0.00010000
ZeroInflationCurve/EUHICP/4,ZeroInflationCurve/EUHICP/4/5Y,0.00837423,0.00010000
ZeroInflationCurve/EUHICP/5,ZeroInflationCurve/EUHICP/5/7Y,0.00930000,0.00010000
ZeroInflationCurve/EUHICP/6,ZeroInflationCurve/EUHICP/6/10Y,0.01127500,0.00010000
ZeroInflationCurve/EUHICP/7,ZeroInflationCurve/EUHICP/7/15Y,0.01325000,0.00010000
ZeroInflationCurve/EUHICP/8,ZeroInflationCurve/EUHICP/8/20Y,0.01427500,0.00010000
ZeroInflationCurve/EUHICPXT/0,ZeroInflationCurve/EUHICPXT/0/6M,0.01080578,0.00010000
ZeroInflationCurve/EUHICPXT/1,ZeroInflationCurve/EUHICPXT/1/1Y,0.01161966,0.00010000
ZeroInflationCurve/EUHICPXT/2,ZeroInflationCurve/EUHICPXT/2/2Y,0.00817500,0.00010000
ZeroInflationCurve/EUHICPXT/3,ZeroInflationCurve/EUHICPXT/3/3Y,0.00817500,0.00010000
ZeroInflationCurve/EUHICPXT/4,ZeroInflationCurve/EUHICPXT/4/5Y,0.00837423,0.00010000
ZeroInflationCurve/EUHICPXT/5,ZeroInflationCurve/EUHICPXT/5/7Y,0.00930000,0.00010000
ZeroInflationCurve/EUHICPXT/6,ZeroInflationCurve/EUHICPXT/6/10Y,0.01127500,0.00010000
ZeroInflationCurve/EUHICPXT/7,ZeroInflationCurve/EUHICPXT/7/15Y,0.01325000,0.00010000
